Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2025-09-05 00:00:00-04:00;711.00.00;716.05.00;6.903.200.073.242.180;7.071.900.024.414.060;1211300;00.00;00.00
2025-09-08 00:00:00-04:00;7.109.000.244.140.620;7.205.499.877.929.680;7.063.099.975.585.930;718.280.029.296.875;1183400;00.00;00.00
2025-09-09 00:00:00-04:00;7.155.700.073.242.180;727.00.00;710.489.990.234.375;7.191.599.731.445.310;945600;00.00;00.00
2025-09-10 00:00:00-04:00;720.780.029.296.875;725.00.00;700.00.00;7.040.900.268.554.680;1181000;00.00;00.00
2025-09-11 00:00:00-04:00;7.011.300.048.828.120;703.05.00;6.770.700.073.242.180;6.903.099.975.585.930;2153300;00.00;00.00
2025-09-12 00:00:00-04:00;6.918.699.951.171.870;6.977.999.877.929.680;686.00.00;6.964.000.244.140.620;1170600;00.00;00.00
2025-09-15 00:00:00-04:00;6.988.699.951.171.870;712.00.00;6.964.000.244.140.620;7.030.999.755.859.370;1221000;00.00;00.00
2025-09-16 00:00:00-04:00;715.00.00;715.00.00;6.937.000.122.070.310;7.040.599.975.585.930;1573500;00.00;00.00
2025-09-17 00:00:00-04:00;70.622.998.046.875;7.101.950.073.242.180;6.889.600.219.726.560;7.071.900.024.414.060;1156200;00.00;00.00
2025-09-18 00:00:00-04:00;715.00.00;745.00.00;7.113.400.268.554.680;7.341.199.951.171.870;2514700;00.00;00.00
2025-09-19 00:00:00-04:00;7.309.199.829.101.560;7.388.699.951.171.870;7.281.649.780.273.430;7.349.199.829.101.560;1545800;00.00;00.00
2025-09-22 00:00:00-04:00;730.25.00;7.402.009.887.695.310;726.719.970.703.125;738.530.029.296.875;988800;00.00;00.00
2025-09-23 00:00:00-04:00;7.361.400.146.484.370;740.00.00;7.168.499.755.859.370;7.189.400.024.414.060;991800;00.00;00.00
2025-09-24 00:00:00-04:00;7.153.499.755.859.370;719.739.990.234.375;6.993.200.073.242.180;7.086.500.244.140.620;1405500;00.00;00.00
2025-09-25 00:00:00-04:00;698.760.009.765.625;719.75;695.969.970.703.125;7.126.199.951.171.870;1238200;00.00;00.00
2025-09-26 00:00:00-04:00;7.126.199.951.171.870;716.530.029.296.875;7.044.400.024.414.060;716.530.029.296.875;1198600;00.00;00.00
2025-09-29 00:00:00-04:00;7.269.099.731.445.310;740.00.00;7.202.750.244.140.620;728.469.970.703.125;965500;00.00;00.00
2025-09-30 00:00:00-04:00;705.260.009.765.625;711.00.00;677.989.990.234.375;698.00.00;4130600;00.00;00.00
2025-10-01 00:00:00-04:00;699.05.00;7.216.699.829.101.560;697.780.029.296.875;7.006.799.926.757.810;2172300;00.00;00.00
2025-10-02 00:00:00-04:00;700.00.00;7.168.599.853.515.620;698.489.990.234.375;7.072.999.877.929.680;1347000;00.00;00.00
2025-10-03 00:00:00-04:00;7.064.400.024.414.060;7.085.499.877.929.680;680.239.990.234.375;680.05.00;1731800;00.00;00.00
2025-10-06 00:00:00-04:00;68.427.001.953.125;6.988.499.755.859.370;6.754.500.122.070.310;680.280.029.296.875;1289500;00.00;00.00
2025-10-07 00:00:00-04:00;67.997.998.046.875;683.00.00;670.05.00;6.804.400.024.414.060;1255500;00.00;00.00
2025-10-08 00:00:00-04:00;6.893.800.048.828.120;696.05.00;673.05.00;674.75;1431600;00.00;00.00
2025-10-09 00:00:00-04:00;6.737.000.122.070.310;6.750.399.780.273.430;666.00.00;6.736.599.731.445.310;1164700;00.00;00.00
2025-10-10 00:00:00-04:00;673.719.970.703.125;6.895.499.877.929.680;670.00.00;6.852.899.780.273.430;1377300;00.00;00.00
2025-10-13 00:00:00-04:00;6.800.800.170.898.430;694.969.970.703.125;6.752.650.146.484.370;6.920.399.780.273.430;1039000;00.00;00.00
2025-10-14 00:00:00-04:00;684.760.009.765.625;7.001.199.951.171.870;6.749.390.258.789.060;683.510.009.765.625;1214600;00.00;00.00
2025-10-15 00:00:00-04:00;6.898.400.268.554.680;6.898.400.268.554.680;6.708.099.975.585.930;6.712.999.877.929.680;1103700;00.00;00.00
2025-10-16 00:00:00-04:00;6.717.999.877.929.680;6.790.399.780.273.430;661.00.00;6.644.600.219.726.560;1293500;00.00;00.00
2025-10-17 00:00:00-04:00;660.00.00;6.753.499.755.859.370;656.25.00;67.152.001.953.125;1200900;00.00;00.00
2025-10-20 00:00:00-04:00;6.701.300.048.828.120;682.25.00;667.05.00;675.530.029.296.875;1077500;00.00;00.00
2025-10-21 00:00:00-04:00;685.00.00;6.969.500.122.070.310;682.469.970.703.125;6.892.100.219.726.560;1540900;00.00;00.00
2025-10-22 00:00:00-04:00;680.00.00;6.866.799.926.757.810;656.510.009.765.625;6.756.199.951.171.870;1683100;00.00;00.00
2025-10-23 00:00:00-04:00;680.00.00;6.839.600.219.726.560;668.010.009.765.625;6.738.599.853.515.620;1294700;00.00;00.00
2025-10-24 00:00:00-04:00;6.762.000.122.070.310;6.766.699.829.101.560;6.448.300.170.898.430;645.780.029.296.875;2131500;00.00;00.00
2025-10-27 00:00:00-04:00;6.484.400.024.414.060;6.615.399.780.273.430;6.404.000.244.140.620;6.577.999.877.929.680;2317000;00.00;00.00
2025-10-28 00:00:00-04:00;6.609.299.926.757.810;6.697.000.122.070.310;6.531.799.926.757.810;6.534.299.926.757.810;1600200;00.00;00.00
2025-10-29 00:00:00-04:00;6.514.299.926.757.810;6.731.599.731.445.310;6.509.400.024.414.060;6.656.699.829.101.560;1590800;00.00;00.00
2025-10-30 00:00:00-04:00;661.989.990.234.375;6.704.199.829.101.560;6.515.599.975.585.930;6.566.799.926.757.810;1165600;00.00;00.00
2025-10-31 00:00:00-04:00;6.618.800.048.828.120;6.681.699.829.101.560;6.548.400.268.554.680;6.553.200.073.242.180;1609900;00.00;00.00
2025-11-03 00:00:00-05:00;6.531.500.244.140.620;6.616.900.024.414.060;6.405.599.975.585.930;6.440.900.268.554.680;3972500;00.00;00.00
2025-11-04 00:00:00-05:00;6.251.799.926.757.810;6.505.809.936.523.430;6.031.500.244.140.620;6.295.999.755.859.370;4318400;00.00;00.00
2025-11-05 00:00:00-05:00;626.00.00;650.739.990.234.375;617.00.00;620.00.00;2131400;00.00;00.00
2025-11-06 00:00:00-05:00;620.00.00;6.297.999.877.929.680;6.116.799.926.757.810;6.182.000.122.070.310;1839900;00.00;00.00
2025-11-07 00:00:00-05:00;6.104.600.219.726.560;6.206.500.244.140.620;6.062.059.936.523.430;6.169.099.731.445.310;1845500;00.00;00.00
2025-11-10 00:00:00-05:00;620.00.00;626.655.029.296.875;6.147.899.780.273.430;6.229.299.926.757.810;1658500;00.00;00.00
2025-11-11 00:00:00-05:00;6.205.599.975.585.930;6.416.199.951.171.870;62.047.998.046.875;6.395.800.170.898.430;1217600;00.00;00.00
2025-11-12 00:00:00-05:00;6.411.099.853.515.620;6.545.999.755.859.370;6.310.999.755.859.370;6.478.699.951.171.870;1327900;00.00;00.00
2025-11-13 00:00:00-05:00;651.010.009.765.625;6.684.949.951.171.870;637.05.00;6.453.300.170.898.430;2067300;00.00;00.00
2025-11-14 00:00:00-05:00;6.377.899.780.273.430;6.546.799.926.757.810;6.331.099.853.515.620;635.75;1440800;00.00;00.00
2025-11-17 00:00:00-05:00;633.260.009.765.625;6.445.700.073.242.180;629.00.00;6.406.199.951.171.870;1342700;00.00;00.00
2025-11-18 00:00:00-05:00;63.422.998.046.875;6.416.599.731.445.310;6.256.300.048.828.120;6.364.500.122.070.310;982800;00.00;00.00
2025-11-19 00:00:00-05:00;636.00.00;6.391.099.853.515.620;61.702.001.953.125;618.530.029.296.875;958600;00.00;00.00
2025-11-20 00:00:00-05:00;6.196.500.244.140.620;622.75;5.870.700.073.242.180;58.922.998.046.875;2498900;00.00;00.00
2025-11-21 00:00:00-05:00;585.00.00;5.928.099.975.585.930;581.447.998.046.875;5.836.099.853.515.620;2035200;00.00;00.00
2025-11-24 00:00:00-05:00;5.826.099.853.515.620;5.861.699.829.101.560;567.530.029.296.875;58.497.998.046.875;4137600;00.00;00.00
2025-11-25 00:00:00-05:00;5.966.799.926.757.810;6.023.699.951.171.870;5.777.789.916.992.180;585.469.970.703.125;2683400;00.00;00.00
2025-11-26 00:00:00-05:00;590.00.00;60.102.001.953.125;5.879.600.219.726.560;5.926.900.024.414.060;1916600;00.00;00.00
2025-11-28 00:00:00-05:00;5.966.199.951.171.870;6.031.900.024.414.060;5.911.699.829.101.560;5.988.699.951.171.870;810600;00.00;00.00
